Lutron MAP Schedule (effective 2/8/2026),,,,
"All resellers and their customers are subject to Lutron’s full MAP policy terms, applicable to the relevant products being advertised and sold. These can be found at www.lutron.com/salespolicies and are incorporated by reference herein. While Sellers remain free to advertise and sell all of our products (including the Covered Product) at any price, it is a violation of the Policy for a Seller to advertise any Covered Product at a price lower than the MAP.",,,,
SKU,DESCRIPTION,MAP,U.P.C.,
LFK-T10RL-BN,LARGE 10 BUTTON FACEPLATE KIT BN,$265.50,027557605663,
LFK-T10RL-BRA,LARGE 10 BUTTON FACEPLATE KIT BRA,$265.50,027557605618,
LFK-T10RL-CLA,LARGE 10 BUTTON FACEPLATE KIT CLA,$265.50,027557605595,
LFK-T10RL-MN,LARGE 10 BUTTON FACEPLATE KIT MN,$88.75,027557605052,
LFK-T10RL-QB,LARGE 10 BUTTON FACEPLATE KIT QB,$265.50,027557605625,
LFK-T10RL-QZ,LARGE 10 BUTTON FACEPLATE KIT QZ,$265.50,027557605632,
LFK-T10RL-SB,LARGE 10 BUTTON FACEPLATE KIT SB,$265.50,027557605564,
LFK-T10RL-SC,LARGE 10 BUTTON FACEPLATE KIT SC,$265.50,027557605649,
LFK-T10RL-SN,LARGE 10 BUTTON FACEPLATE KIT SN,$265.50,027557605656,
LFK-T10RL-SW,LARGE 10 BUTTON FACEPLATE KIT SW,$88.75,027557605083,
LFK-T15RL-BB,LARGE 15 BUTTON FACEPLATE KIT BB,$265.50,027557605687,
LFK-T15RL-BC,LARGE 15 BUTTON FACEPLATE KIT BC,$265.50,027557605694,
LFK-T15RL-BLA,LARGE 15 BUTTON FACEPLATE KIT BLA,$265.50,027557605717,
LFK-T15RL-BN,LARGE 15 BUTTON FACEPLATE KIT BN,$265.50,027557605779,
LFK-T15RL-BRA,LARGE 15 BUTTON FACEPLATE KIT BRA,$265.50,027557605724,
LFK-T15RL-CLA,LARGE 15 BUTTON FACEPLATE KIT CLA,$265.50,027557605700,
LFK-T15RL-MN,LARGE 15 BUTTON FACEPLATE KIT MN,$88.75,027557605069,
LFK-T15RL-QB,LARGE 15 BUTTON FACEPLATE KIT QB,$265.50,027557605731,
LFK-T15RL-QZ,LARGE 15 BUTTON FACEPLATE KIT QZ,$265.50,027557605748,
LFK-T15RL-SB,LARGE 15 BUTTON FACEPLATE KIT SB,$265.50,027557605670,
LFK-T15RL-SC,LARGE 15 BUTTON FACEPLATE KIT SC,$265.50,027557605755,
LFK-T15RL-SN,LARGE 15 BUTTON FACEPLATE KIT SN,$265.50,027557605762,
LFK-T15RL-SW,LARGE 15 BUTTON FACEPLATE KIT SW,$88.75,027557605090,
LFK-T5RL-BB,LARGE 5 BUTTON FACEPLATE KIT BB,$265.50,027557605465,
LFK-T5RL-BC,LARGE 5 BUTTON FACEPLATE KIT BC,$265.50,027557605472,
LFK-T5RL-BLA,LARGE 5 BUTTON FACEPLATE KIT BLA,$265.50,027557605496,
LFK-T5RL-BN,LARGE 5 BUTTON FACEPLATE KIT BN,$265.50,027557605557,
LFK-T5RL-BRA,LARGE 5 BUTTON FACEPLATE KIT BRA,$265.50,027557605502,
LFK-T5RL-CLA,LARGE 5 BUTTON FACEPLATE KIT CLA,$265.50,027557605489,
LFK-T5RL-MN,LARGE 5 BUTTON FACEPLATE KIT MN,$88.75,027557605045,
LFK-T5RL-QB,LARGE 5 BUTTON FACEPLATE KIT QB,$265.50,027557605519,
LFK-T5RL-QZ,LARGE 5 BUTTON FACEPLATE KIT QZ,$265.50,027557605526,
LFK-T5RL-SB,LARGE 5 BUTTON FACEPLATE KIT SB,$265.50,027557605458,
LFK-T5RL-SC,LARGE 5 BUTTON FACEPLATE KIT SC,$265.50,027557605533,
LFK-T5RL-SN,LARGE 5 BUTTON FACEPLATE KIT SN,$265.50,027557605540,
LFK-T5RL-SW,LARGE 5 BUTTON FACEPLATE KIT SW,$88.75,027557605076,
L-HWLV2-WIFI,HONEYWELL WIFI GEN 2HONEYWELL WIFI GEN 2,$445.50,784276152730,
L-JMNT-WH,JBOX WALLMT,$42.00,784276297134,
LMJ-16R-DV-B,434MHZ 16A RELAY,$199.50,784276070010,
LMJ-5T-DV-B,POWPAK 0-10V 434 RESIDENTIAL SYSTEM,$262.50,784276079730,
LMJ-CCO1-24-B,434MHZ LV RELAY,$136.50,784276070003,
LOS-CDT-1000R-WH,OCC SEN CLG MT DUAL TECH 1000 SF W/RELA,$297.00,027557212366,
LOS-CDT-1000-WH,OCC SEN CEIL MNT DUAL TECH 1000 SQ FT WH,$280.50,027557182027,
LOS-CDT-2000R-WH,OCC SEN CLG MT DUAL TECH 2000 SF W/RELA,$319.00,027557212380,
LOS-CDT-2000-WH,OCC SEN CEILING MT DUAL TECH 2000 SF WH,$302.50,027557212373,
LOS-CDT-500R-WH,OCC SEN CEIL MT DUAL TCH 500 SF W/RLY WH,$236.50,027557182010,
LOS-CDT-500-WH,OCCP SENS-CEILING MNT DUAL,$225.50,027557182003,
LOS-CIR-1500-WH,OCC SEN-CEILING MT INFRARED,$264.00,027557212403,
LOS-CIR-450-WH,OCC SEN CEILING MT INFRA RED,$181.50,027557212397,
LOS-CUS-1000-WH,OCCUP SEN-CEILING MNT,$242.00,027557181983,
LOS-CUS-2000-WH,OCCUP SEN CEILING MNT,$280.50,027557181990,
LOS-CUS-500-WH,OCCUPANCY SEN CEILING MNT - WHITE,$209.00,027557181976,
LOS-WDT-R-WH,OCC SEN WLL MT DUAL TCH 1600 SF W/RLY WH,$313.50,027557212427,
LOS-WDT-WH,OCC SEN-WALL MT DUAL TECH 1600 SQ FT WH,$302.50,027557212410,
LOS-WIR-WH,OCCUPANCY SEN WALL MT INFRARED,$225.50,027557212434,
L-POEI-BL,POE INJECTOR,$89.25,784276297103,
L-REPPRO-BL,LUTRON WIRELESS REPEATER,$252.00,784276240239,
LRF2-DCRB-WH,DAYLIGHT SENSOR 1-WAY,$169.50,027557798440,
LRF2-OCR2B-P-WH,LUTRON OCCUPANCY SENSOR,$118.65,027557831970,
LRF2-OHLB-P-WH,LUTRON HALL OCC SENSOR,$118.65,027557823609,
LRF2-OKLB-P-WH,LUTRON CORNER OCC SENSOR,$118.65,027557823586,
LRF2-OWLB-P-WH,LUTRON WALL OCC SENSOR,$118.65,027557823562,
LRF2-VCR2B-P-WH,LUTRON VACANCY SENSOR,$118.65,027557831987,
LRF2-VHLB-P-WH,LUTRON HALL VAC SENSOR,$118.65,027557823616,
LRF2-VKLB-P-WH,LUTRON CORNER VAC SENSOR,$118.65,027557823593,
LRF2-VWLB-P-WH,LUTRON WALL VAC SENSOR,$118.65,027557823579,
LRF-ARM-WH,RPS SENSOR ARMATURE,$83.65,784276092470,
L-SMNT-WH,SHELF MNT ADAPT,$42.00,784276297127,
LU-45S-ACS,45S ACCESSORY PACK,$7.35,784276819985,
LU-45S-K,45S EXTRUSION BUNDLE,$93.45,784276819978,
LU-45T-ACS,45T ACCESSORY PACK,$12.60,784276820004,
LU-45T-K,45T EXTRUSION BUNDLE,$183.75,784276819992,
LU-BP1,BARREL PLUG ADAPTOR 3 PACK,$48.00,784276313926,
LU-CK1-6W,LUTRON 6PIN CONNECT 10 PACK,$35.00,784276823760,
LU-CK1-TW,LUMARIS TW TAPE CONNECT KIT 1,$30.00,784276311038,
LU-MI1-ACS,MI1 ACCESSORY PACK,$21.00,784276820042,
LU-MI1-K,MI1 EXTRUSION BUNDLE,$262.50,784276820035,
LU-MK1,LUMARIS TAPE MOUNTING KIT 1,$48.00,784276311076,
LU-PH3-A,LUMARIS HARD WIRE PWR INTRFACE,$350.00,784276311878,
LU-PH3-B,LUMARIS 96W PWR INTRFACE,$348.00,784276823784,
LU-RR1-ACS,RR1 ACCESSORY PACK,$13.13,784276820028,
LU-RR1-K,RR1 EXTRUSION BUNDLE,$165.00,784276820011,
LU-SR1-ACS,SR1 ACCESSORY PACK,$31.50,784276819923,
LU-SR1-K,SR1 EXTRUSION BUNDLE,$224.75,784276819916,
LU-SR2-ACS,SR2 ACCESSORY PACK,$7.35,784276819947,
LU-SR2-K,SR2 EXTRUSION BUNDLE,$81.40,784276819930,
LU-SR3-ACS,SR3 ACCESSORY PACK,$26.25,784276819961,
LU-SR3-K,SR3 EXTRUSION BUNDLE,$94.50,784276819954,
LU-T05-DL,LUMARIS TW TAPE 5M DL,$300.00,784276311014,
LU-T05-RT-IN,LUMARIS RGBTW IN TAPE 5M,$341.50,784276823746,
LU-T05-SW,LUMARIS TW TAPE 5M SW,$300.00,784276311007,
LU-T05-TW-IN,LUMARIS TW IN TAPE 5M,$260.00,784276338431,
LU-T30-DL,LUMARIS TW TAPE 30M DL,"$1,600.00",784276311052,
LU-T30-RT-IN,LUMARIS RGBTW IN TAPE 30M,"$1,785.00",784276823753,
LU-T30-SW,LUMARIS TW TAPE 30M SW,"$1,600.00",784276311045,
LU-T30-TW-IN,LUMARIS TW IN TAPE 30M,"$1,600.00",784276338448,
LU-WK1-6W,LUTRON 6PIN WIRE 50FT,$190.00,784276823777,
LU-WK1-TW,LUMARIS TW TAPE WIRE KIT 1,$100.00,784276311069,
L-WIRECAGE-C,WIRE CAGE-CEILING SENSOR,$90.40,784276092487,
L-WIRECAGE-W,WIRE CAGE-WALL SENSOR,$90.40,784276092494,
L-WIRECAGE-WBX,WIRE CAGE-WALLBOX SENSOR,$90.40,784276092517,
MACL-L3S25-AL,MA LED+ 75W/2.5A DMR/SW,$68.95,784276310802,
MACL-L3S25-BI,MA LED+ 75W/2.5A DMR/SW,$73.95,784276310888,
MACL-L3S25-BL,MA LED+ 75W/2.5A DMR/SW,$68.95,784276310819,
MACL-L3S25-BR,MA LED+ 75W/2.5A DMR/SW,$68.95,784276310826,
MACL-L3S25-GR,MA LED+ 75W/2.5A DMR/SW,$68.95,784276310833,
MACL-L3S25-HT,MA LED+ 75W/2.5A DMR/SW,$73.95,784276310895,
MACL-L3S25H-WH,MA LED+ 75W/2.5A DMR/SW,$68.95,784276813303,
MACL-L3S25-IV,MA LED+ 75W/2.5A DMR/SW,$68.95,784276310840,
MACL-L3S25-LA,MA LED+ 75W/2.5A DMR/SW,$68.95,784276310857,
MACL-L3S25-MN,MA LED+ 75W/2.5A DMR/SW,$73.95,784276310871,
MACL-L3S25-PD,MA LED+ 75W/2.5A DMR/SW,$73.95,784276310901,
MACL-L3S25-SW,MA LED+ 75W/2.5A DMR/SW,$73.95,784276310864,
MACL-L3S25-TP,MA LED+ 75W/2.5A DMR/SW,$73.95,784276310918,
MACL-L3S25-WH,MA LED+ 75W/2.5A DMR/SW,$68.95,784276813334,
MACL-L3T251-AL,MA LED+ 75W/2.5A DMR/TMR,$68.95,784276310680,
MACL-L3T251-BI,MA LED+ 75W/2.5A DMR/TMR,$73.95,784276310765,
MACL-L3T251-BL,MA LED+ 75W/2.5A DMR/TMR,$68.95,784276310697,
MACL-L3T251-BR,MA LED+ 75W/2.5A DMR/TMR,$68.95,784276310703,
MACL-L3T251B-WH,MAESTRO 65W LED SP 5LVL DM/TMR WH,$68.95,784276337281,
MACL-L3T251-GR,MA LED+ 75W/2.5A DMR/TMR,$68.95,784276310710,
MACL-L3T251-HT,MA LED+ 75W/2.5A DMR/TMR,$73.95,784276310772,
MACL-L3T251-IV,MA LED+ 75W/2.5A DMR/TMR,$68.95,784276310727,
